title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Grilled Fish Tacos With Chipotle Lime Dressing,416.0,22.6,38.5,19.2,0.22,0.36,0.42,6.0,4.51,404,https://www.allrecipes.com/recipe/142614/grilled-fish-tacos-with-chipotle-lime-dressing/
Grilled Garlic And Herb Shrimp,336.0,37.8,10.2,15.7,0.45,0.13,0.42,4.0,4.63,135,https://www.allrecipes.com/recipe/143394/grilled-garlic-and-herb-shrimp/
Butternut Squash Risotto,342.0,7.4,57.1,8.0,0.09,0.7,0.21,4.0,4.53,55,https://www.allrecipes.com/recipe/144760/butternut-squash-risotto/
Marinated Pork Tenderloin,278.0,27.0,16.9,10.7,0.39,0.26,0.35,4.0,4.57,390,https://www.allrecipes.com/recipe/14495/marinated-pork-tenderloin/
Portobello Mushroom Burgers,203.0,10.3,9.8,14.6,0.2,0.1499999999999999,0.65,4.0,4.61,35,https://www.allrecipes.com/recipe/14497/portobello-mushroom-burgers/
Maple Glazed Ribs,485.0,24.2,30.5,29.5,0.2,0.25,0.55,6.0,4.57,220,https://www.allrecipes.com/recipe/14503/maple-glazed-ribs/
California Grilled Veggie Sandwich,393.0,9.2,36.5,23.8,0.09,0.36,0.55,4.0,4.82,50,https://www.allrecipes.com/recipe/14504/california-grilled-veggie-sandwich/
London Broil I,222.0,30.1,3.8,9.1,0.54,0.08999999999999997,0.37,6.0,4.55,510,https://www.allrecipes.com/recipe/14520/london-broil-i/
Asian Beef Skewers,135.0,14.7,6.7,4.9,0.44,0.22999999999999998,0.33,6.0,4.66,160,https://www.allrecipes.com/recipe/14521/asian-beef-skewers/
Pizza On The Grill I,212.0,6.2,21.5,11.3,0.12,0.4,0.48,16.0,4.71,180,https://www.allrecipes.com/recipe/14522/pizza-on-the-grill-i/
Prize Winning Baby Back Ribs,441.0,24.6,16.9,30.0,0.22,0.17000000000000004,0.61,6.0,4.63,95,https://www.allrecipes.com/recipe/14539/prize-winning-baby-back-ribs/
Barbequed Marinated Flank Steak,388.0,24.8,9.7,27.8,0.26,0.09999999999999998,0.64,6.0,4.6,505,https://www.allrecipes.com/recipe/14558/barbequed-marinated-flank-steak/
London Broil Ii,396.0,48.6,1.2,20.6,0.49,0.040000000000000036,0.47,8.0,4.57,345,https://www.allrecipes.com/recipe/14562/london-broil-ii/
Feta Cheese Turkey Burgers,318.0,25.5,3.6,21.9,0.32,0.06000000000000005,0.62,4.0,4.56,0,https://www.allrecipes.com/recipe/14572/feta-cheese-turkey-burgers/
Big Smokey Burgers,537.0,38.7,26.6,29.7,0.29,0.20999999999999996,0.5,6.0,4.56,35,https://www.allrecipes.com/recipe/145758/big-smokey-burgers/
Basil Shrimp,206.0,25.0,2.4,10.2,0.49,0.06000000000000005,0.45,9.0,4.59,90,https://www.allrecipes.com/recipe/14580/basil-shrimp/
Veggie Pita Pizza,405.0,19.7,39.9,18.0,0.19,0.4099999999999999,0.4,1.0,4.75,20,https://www.allrecipes.com/recipe/14584/veggie-pita-pizza/
Slovak Stuffed Cabbage,556.0,25.9,31.6,36.5,0.19,0.21999999999999997,0.59,8.0,4.51,120,https://www.allrecipes.com/recipe/14597/slovak-stuffed-cabbage/
Beef Tenderloin With Roasted Shallots,653.0,31.6,11.9,50.6,0.19,0.1100000000000001,0.7,6.0,4.83,105,https://www.allrecipes.com/recipe/14606/beef-tenderloin-with-roasted-shallots/
Slow Cooker Barbeque,343.0,20.5,23.3,17.9,0.24,0.29000000000000004,0.47,8.0,4.58,550,https://www.allrecipes.com/recipe/14608/slow-cooker-barbeque/
Cola Pot Roast Ii,423.0,38.8,12.7,23.3,0.37,0.13,0.5,8.0,4.55,315,https://www.allrecipes.com/recipe/14618/cola-pot-roast-ii/
Beef Pot Roast,551.0,39.4,1.6,41.9,0.29,0.030000000000000027,0.68,8.0,4.55,140,https://www.allrecipes.com/recipe/14621/beef-pot-roast/
Rib Eye Steaks With A Soy And Ginger Marinade,467.0,33.6,18.8,27.1,0.29,0.18999999999999995,0.52,4.0,4.55,80,https://www.allrecipes.com/recipe/14624/rib-eye-steaks-with-a-soy-and-ginger-marinade/
Mushroom Meatloaf,765.0,48.5,26.2,50.8,0.25,0.15000000000000002,0.6,4.0,4.5,120,https://www.allrecipes.com/recipe/14629/mushroom-meatloaf/
Barbecued Beef,276.0,18.7,13.5,16.2,0.27,0.19999999999999996,0.53,12.0,4.65,620,https://www.allrecipes.com/recipe/14646/barbecued-beef/
Liver And Onions,303.0,24.3,15.0,15.7,0.32,0.20999999999999996,0.47,4.0,4.68,30,https://www.allrecipes.com/recipe/14673/liver-and-onions/
Brisket With Bbq Sauce,560.0,34.1,9.3,42.3,0.24,0.07999999999999996,0.68,10.0,4.72,850,https://www.allrecipes.com/recipe/14675/brisket-with-bbq-sauce/
Sesame Beef,354.0,22.2,15.8,22.5,0.25,0.18000000000000005,0.57,4.0,4.52,45,https://www.allrecipes.com/recipe/14679/sesame-beef/
French Dip Sandwiches,372.0,29.6,29.8,14.4,0.32,0.33000000000000007,0.35,10.0,4.54,730,https://www.allrecipes.com/recipe/14689/french-dip-sandwiches/
